Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.2545823,1.189050,9.888000,1.290000,10.042435,82.619682,83.143005
1.2592446,1.186950,9.895050,1.276050,10.047346,82.703522,83.159828
1.2639090,1.180050,9.877951,1.285050,10.030841,82.639618,83.187553
1.2685752,1.192050,9.877951,1.309050,10.035362,82.504768,83.118942
1.2732395,1.173000,9.889951,1.321050,10.046503,82.444092,83.236015
1.2779038,1.156050,9.900001,1.327950,10.055343,82.411110,83.339577
1.2825685,1.150950,9.883051,1.339950,10.039663,82.330093,83.357430
1.2872318,1.146000,9.880951,1.359000,10.039591,82.220329,83.384354
1.2918965,1.137000,9.889951,1.336050,10.044348,82.356140,83.441772
1.2965585,1.134000,9.871051,1.324050,10.023807,82.409584,83.446510
1.3012222,1.122000,9.865951,1.315950,10.016366,82.450653,83.511940
1.3058878,1.120050,9.889951,1.327950,10.041368,82.400490,83.538704
1.3105514,1.117950,9.874050,1.321050,10.024562,82.427460,83.540421
1.3152161,1.126950,9.904950,1.327950,10.056913,82.412308,83.509003
1.3198798,1.132050,9.888000,1.321050,10.039884,82.439087,83.468803
1.3245441,1.144050,9.892950,1.312050,10.044938,82.494690,83.403450
1.3292096,1.144050,9.889951,1.318950,10.042889,82.453445,83.401466
1.3338724,1.153950,9.889951,1.330950,10.045604,82.386452,83.344872
1.3385371,1.174950,9.880951,1.324050,10.038267,82.420586,83.218765
1.3432014,1.168050,9.876000,1.314000,10.031267,82.473167,83.254875
1.3478647,1.204050,9.865951,1.309050,10.024985,82.496964,83.041977
1.3525299,1.185000,9.880951,1.300050,10.036312,82.557297,83.161308
1.3571942,1.210950,9.864000,1.300050,10.022726,82.547150,83.001129
1.3618592,1.225050,9.862050,1.297050,10.022132,82.564003,82.919067
1.3665243,1.216050,9.871051,1.270950,10.026551,82.717682,82.976913
1.3711876,1.225050,9.874050,1.290000,10.033031,82.612724,82.927589
1.3758515,1.234950,9.865951,1.278000,10.024738,82.675735,82.865227
1.3805163,1.228050,9.889951,1.290000,10.049047,82.624565,82.921730
